"ID","12142020-cnf-1","12172020cl3","12182020cl1","12192020cml1","12202020","12212020","12232020cp","12252020cp2f"
"12203|CE12202_13689",NA,NA,1,NA,2,4,3,NA
"122250|CE122249_6040",NA,2,NA,NA,5,NA,NA,2
"122405|CE122404_1359",NA,2,NA,2,NA,NA,NA,NA
"122493|CE122492_763",NA,NA,2,NA,NA,NA,NA,NA
"1225071|CE1225070_3123",NA,2,NA,NA,NA,NA,NA,NA
"1226895|CE1226894_6113",NA,5,4,2,6,NA,NA,NA
"1226902|CE1226901_8340",NA,7,4,2,6,NA,NA,29
"1227029|CE1227028_2466",2,NA,NA,NA,NA,NA,NA,NA
"1227421|CE1227420_4374",NA,NA,NA,NA,2,NA,NA,NA
"1227585|CE1227584_5127",NA,NA,NA,2,2,NA,NA,NA
"12281|CE12280_13310",NA,2,2,NA,4,NA,NA,NA
"1228550|CE1228549_11313",NA,NA,NA,NA,2,NA,2,NA
"1228611|CE1228610_6317",31,12,6,12,10,13,3,4
"1229523|CE1229522_18620",NA,NA,NA,2,NA,NA,NA,2
"1229543|CE1229542_10383",NA,NA,2,2,2,NA,NA,NA
"1230252|CE1230251_730",NA,NA,NA,NA,2,NA,NA,4
"1231321|CE1231320_1107",NA,NA,NA,2,NA,NA,NA,NA
"1231353|CE1231352_2137",NA,2,NA,4,NA,NA,NA,NA
"1231768|CE1231767_26838",NA,4,2,2,8,NA,NA,37
"1232070|CE1232069_288",NA,2,NA,NA,NA,NA,NA,NA
"1232153|CE1232152_7077",NA,NA,5,2,4,NA,2,6
"1232645|CE1232644_2736",NA,NA,NA,NA,NA,1,NA,NA
"1240951|gw1.159.1.1",NA,NA,NA,NA,NA,NA,2,NA
"1241319|gw1.111.2.1",NA,NA,NA,3,NA,NA,NA,NA
"1241455|gw1.232.2.1",NA,NA,NA,2,NA,NA,NA,NA
